scenario,actual_cluster_n,actual_cluster_size,estimated_cluster_n,estimate_cluster_size
Cluster = 4;N = 100,9,4.454545454545455,22,3.909090909090909
Cluster = 4;N = 100,11,5.22680412371134,22,4
Cluster = 4;N = 100,9,4.49,24,3.625
Cluster = 4;N = 100,9,4.483870967741936,21,4.238095238095238
Cluster = 4;N = 100,10,4.795698924731183,20,4.35
Cluster = 4;N = 100,10,4.686868686868687,21,3.9523809523809526
Cluster = 4;N = 100,10,4.848484848484849,23,3.739130434782609
Cluster = 4;N = 100,10,4.77,23,4.043478260869565
Cluster = 4;N = 100,10,4.66,21,4.380952380952381
Cluster = 4;N = 100,10,4.609999999999999,21,4.095238095238095
Cluster = 4;N = 100,9,4.32,23,4.086956521739131
Cluster = 4;N = 100,11,5.515151515151516,23,3.782608695652174
Cluster = 4;N = 100,11,5.255102040816326,23,3.9130434782608696
Cluster = 4;N = 100,9,4.494845360824742,22,3.909090909090909
Cluster = 4;N = 100,11,5.193877551020408,24,3.7916666666666665
Cluster = 4;N = 100,12,5.747474747474748,21,4.0476190476190474
Cluster = 4;N = 100,11,5.3232323232323235,23,3.9130434782608696
Cluster = 4;N = 100,10,4.785714285714286,23,3.739130434782609
Cluster = 4;N = 100,11,5.221052631578948,21,4.142857142857143
Cluster = 4;N = 100,11,5.587628865979381,22,3.9545454545454546
Cluster = 4;N = 100,10,4.95959595959596,24,4
Cluster = 4;N = 100,11,5.0606060606060606,22,3.772727272727273
Cluster = 4;N = 100,11,5.360824742268041,22,3.909090909090909
Cluster = 4;N = 100,10,4.8,24,3.7916666666666665
Cluster = 4;N = 100,11,5.309278350515464,22,3.8181818181818183
Cluster = 4;N = 100,11,5.449999999999999,24,3.7916666666666665
Cluster = 4;N = 100,10,5.159999999999999,23,4
Cluster = 4;N = 100,10,4.868686868686869,23,3.9130434782608696
Cluster = 4;N = 100,11,5.555555555555556,22,3.8181818181818183
Cluster = 4;N = 100,11,5.242424242424242,24,3.5833333333333335
Cluster = 4;N = 100,11,5.449999999999999,23,3.8260869565217392
Cluster = 4;N = 100,9,4.427083333333333,21,3.8095238095238093
